GenusId,total_quantity,shipment_count,Cluster
1,176855.0,75,Cluster 0
2,55244624.0,566,Cluster 2
3,58816748.0,571,Cluster 2
4,5486281.5,392,Cluster 0
5,498993.0,128,Cluster 0
6,1613834.0,172,Cluster 0
7,168959620.0,699,Cluster 1
9,2730339.0,184,Cluster 0
10,101133.0,38,Cluster 0
11,7554724.0,184,Cluster 0
12,6745.0,10,Cluster 0
13,71927060.0,527,Cluster 2
14,3617239.5,253,Cluster 0
15,322209.0,115,Cluster 0
16,744205.0,101,Cluster 0
17,1383530.5,216,Cluster 0
18,6893.0,20,Cluster 0
19,30918.0,30,Cluster 0
20,677173.5,160,Cluster 0
21,146601.0,37,Cluster 0
22,23071882.0,315,Cluster 0
23,765363.0,83,Cluster 0
24,563797.0,90,Cluster 0
25,1355959.5,93,Cluster 0
26,172855.0,60,Cluster 0
27,92537250.0,668,Cluster 2
28,4406714.0,249,Cluster 0
29,3314431.5,297,Cluster 0
30,15837238.0,299,Cluster 0
31,674975.0,90,Cluster 0
32,164701.0,46,Cluster 0
33,2959067.5,49,Cluster 0
34,854798.0,209,Cluster 0
35,15322958.0,526,Cluster 0
36,422038.0,86,Cluster 0
37,607243.5,115,Cluster 0
38,16400074.0,381,Cluster 0
39,56504776.0,508,Cluster 2
40,940679.0,145,Cluster 0
41,20193460.0,80,Cluster 0
42,4743536.0,171,Cluster 0
43,1047098.06,154,Cluster 0
44,10385672.0,444,Cluster 0
45,3923089.0,289,Cluster 0
46,732516.0,105,Cluster 0
47,131308930.0,581,Cluster 1
49,67610.0,66,Cluster 0
50,1496634.0,109,Cluster 0
51,2133954.0,95,Cluster 0
52,39236404.0,619,Cluster 2
